Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Paul Perkins,NYG,RB,69.3,14,5.0,,,0.0,9.0,2.7,3.6,2.1,,6.2,3.1,4.5,5.3,3.8,5.0,5.6,8.2,10.2
Dorial Green-Beckham,PHI,WR,69.2,15,4.6,2.4,2.8,4.8,,5.8,2.8,7.8,8.0,0.0,0.0,13.9,11.2,4.9,,1.6,1.2,2.0
Thomas Rawls,SEA,RB,69.0,9,7.7,7.3,2.3,,,,,,,,,10.3,3.8,24.3,7.9,4.9,0.8,7.4
Sammy Watkins,BUF,WR,69.0,8,8.6,6.3,3.0,,,,,,,,,,9.5,5.3,13.4,1.5,24.9,5.1
Rex Burkhead,CIN,RB,67.4,16,4.2,0.0,0.0,0.0,0.0,0.0,1.6,3.8,0.0,,0.0,1.9,5.8,6.6,5.6,6.0,8.7,27.4
Sammie Coates,PIT,WR,67.4,14,4.8,6.6,11.3,6.5,10.8,28.9,0.0,0.9,,0.0,0.0,0.0,0.0,0.0,0.0,2.4,,
Julius Thomas,JAC,TE,67.1,9,7.5,14.9,9.1,2.3,,,3.8,9.5,10.3,3.1,11.4,2.7,,,,,,
Andrew Hawkins,CLE,WR,66.9,16,4.2,-0.1,4.3,2.5,4.3,13.6,6.3,2.9,17.6,2.3,0.0,2.5,0.0,,0.9,3.8,2.6,3.4
Robert Griffin III,CLE,QB,66.5,5,13.3,9.3,,,,,,,,,,,,,11.3,18.6,10.8,16.5
Albert Wilson,KC,WR,66.4,16,4.2,1.6,2.1,0.0,7.7,,3.1,0.9,0.0,11.2,4.5,9.9,1.6,18.3,0.0,0.0,0.8,4.7
Garrett Celek,SF,TE,65.5,16,4.1,2.0,1.7,4.0,10.4,0.9,0.0,0.9,,9.6,0.0,5.6,6.9,0.0,1.0,9.2,5.9,7.4
Eddie Royal,CHI,WR,65.4,9,7.3,13.7,7.2,3.6,20.6,7.8,7.4,,,,2.9,2.3,-0.1,,,,,
Jacksonville Jaguars,JAC,DST,64.0,16,4.0,1.0,1.0,9.0,8.0,,2.0,-1.0,-4.0,3.0,2.0,9.0,4.0,3.0,2.0,4.0,12.0,9.0
Jeremy Langford,CHI,RB,63.7,12,5.3,13.3,7.9,5.6,,,,,1.6,,4.6,11.3,0.5,0.2,1.0,2.7,8.8,6.2
San Francisco 49ers,SF,DST,63.0,16,3.9,16.0,6.0,2.0,2.0,0.0,3.0,3.0,,-3.0,10.0,0.0,1.0,3.0,8.0,-1.0,8.0,5.0
Dion Sims,MIA,TE,62.6,14,4.5,0.0,2.6,6.6,1.4,1.1,1.7,,,,0.0,3.5,13.3,5.4,7.9,17.1,2.0,0.0
Kai Forbath,MIN,K,62.0,7,8.9,,,,,,,,,,,6.0,7.0,10.0,16.0,8.0,7.0,8.0
Fozzy Whittaker,CAR,RB,59.6,16,3.7,2.2,12.6,8.1,13.7,5.9,0.8,,1.5,0.6,1.9,0.0,1.4,0.3,1.5,3.3,4.9,0.9
Quinton Patton,SF,WR,59.3,14,4.2,8.5,4.0,1.3,1.8,2.6,7.2,2.8,,13.6,6.7,2.7,1.7,0.0,5.1,1.3,,
Brandon Coleman,NO,WR,59.1,16,3.7,0.0,2.5,11.3,2.7,,1.1,7.5,5.4,3.5,2.4,7.4,6.8,0.0,7.2,0.0,0.0,1.3
Russell Shepard,TB,WR,58.5,14,4.2,0.9,2.6,1.1,0.0,0.0,,16.2,9.4,,,6.9,3.3,2.0,2.2,2.4,7.6,3.9
New Orleans Saints,NO,DST,58.0,16,3.6,-4.0,12.0,-2.0,8.0,,2.0,0.0,4.0,9.0,10.0,2.0,7.0,1.0,5.0,1.0,6.0,-3.0
Danny Amendola,NE,WR,57.8,12,4.8,6.3,16.8,3.3,0.0,2.1,4.0,0.0,10.4,,1.9,7.2,1.3,4.5,,,,
Trey Burton,PHI,TE,57.2,16,3.6,0.0,13.4,2.9,,1.0,1.2,0.0,1.1,7.0,0.0,1.9,2.5,7.8,10.0,1.2,0.8,6.4
